img, file, h, v, unit
EF2010_T097_L001_2010.07.22_103015_003_AP, 07-22.CAL, 2.475928E-002, 2.580645E-002, mm
EF2010_T097_L001_2010.08.12_101843_003_AP, 2010-08-12.CAL, 2.134146E-002, 2.212389E-002, mm
EF2010_T097_L001_2010.08.17_095728_004_AP, 2010-08-17.CAL, 2.142857E-002, 2.227171E-002, mm
EF2010_T097_L002_2010.08.18_095833_004_AP, 2010-08-18.CAL, 2.136752E-002, 2.183406E-002, mm
EF2010_T097_L002_2010.05.27_102602_001_AP, EF2010.05.27.CAL, 2.416107E-002, 2.542373E-002, mm
EF2010_T097_L003_2010.05.28_095759_001_AP, EF2010.05.28.CAL, 2.406417E-002, 2.515723E-002, mm
EF2010_T097_L001_2010.07.22_103015_003_AP, EF2010_T097_001.CAL, 2.472527E-002, 2.569593E-002, mm
EF2010_T097_L002_2010.07.22_160422_003_AP, EF2010_T097_002.CAL, 2.478134E-002, 2.591793E-002, mm
EF2010_T097_L003_2010.07.23_105117_003_AP, EF2010_T097_003.CAL, 2.460203E-002, 2.569593E-002, mm
EF2010_T097_L004_2010.07.26_101238_003_AP, EF2010_T097_004.CAL, 2.472527E-002, 2.580645E-002, mm
EF2010_T097_L001_2010.10.07_085009_005_AP, EF2010_T097_L001.CAL, 2.130682E-002, 2.226721E-002, mm
EF2010_T097_L002_2010.10.08_091343_005_AP, EF2010_T097_L002.CAL, 2.130682E-002, 2.204409E-002, mm
EF2010_T097_L003_2010.10.14_095015_005_WAM, EF2010_T097_L003.CAL, 2.121641E-002, 2.231237E-002, mm
EF2010_T097_L004_2010.10.15_133238_005_WAM, EF2010_T097_L004.CAL, 2.127660E-002, 2.257336E-002, mm
