Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks,CKB_remarks,
1,1,JNR,6.4.13,yes,,,
1,2,JNR,6.4.13,no,,,
1,3,JNR,6.4.13,no,,,
1,4,JNR,6.4.13,no,,,
1,5,JNR,6.4.13,yes,,,
1,6,JNR,6.4.13,no,,,
1,7,JNR,6.4.13,no,,,
1,8,JNR,6.4.13,yes,,trace vertical bot rt,
1,9,JNR,6.4.13,no,Fair amount of moisture,,
1,10,JNR,6.4.13,yes,,,
1,11,JNR,6.5.13,yes,,,
1,12,JNR,6.5.13,no,possible root looks like clay,"trace in topr rt, not bot rt",
1,13,JNR,6.5.13,no,,,
1,14,JNR,6.5.13,no,,,
1,15,JNR,6.5.13,no,,,
1,16,JNR,6.5.13,no,area on right side could be a root or a crack,trace 2 brightest horiz lines,
1,17,JNR,6.5.13,no,,,
1,18,JNR,6.5.13,yes,,,
1,19,JNR,6.5.13,no,,,
1,20,JNR,6.5.13,no,,,
1,21,JNR,6.5.13,yes,,,trace short bit in middle
1,22,JNR,6.5.13,yes,,,
1,23,JNR,6.5.13,yes,,,
1,24,JNR,6.5.13,no,,,
1,25,JNR,6.5.13,no,,,
1,26,JNR,6.5.13,no,,,
1,27,JNR,6.5.13,no,,,
1,28,JNR,6.5.13,blur,,,
1,29,JNR,6.5.13,yes,,,
1,30,JNR,6.5.13,no,,,
1,31,JNR,6.5.13,no,,,
1,32,JNR,6.5.13,yes,,,
1,33,JNR,6.5.13,yes,,,
1,34,JNR,6.5.13,no,,trace top rt,
1,35,JNR,6.5.13,no?,The clay looks the same as the would be roots.  Unsure.,"picture sucks, but trace anyway",
1,36,JNR,6.5.13,no,,,
1,37,JNR,6.5.13,yes,,,
1,38,JNR,6.5.13,no,,,
1,39,JNR,6.5.13,no,,,
1,40,JNR,6.5.13,yes,"bottom left of picture looks like object, not root.",trace lower left,
1,41,JNR,6.5.13,yes,,,
1,42,JNR,6.5.13,yes,,,
1,43,JNR,6.5.13,no,,,
1,44,JNR,6.5.13,blur,,,
1,45,JNR,6.5.13,yes,,,
1,46,JNR,6.5.13,no,The insistent reflection of the light leads me to believe these are scratches,,
1,47,JNR,6.5.13,yes,blury,trace 2 wide bits top rt,
1,48,JNR,6.5.13,yes,,"trace short bit l of center, thin top rt",
1,49,JNR,6.5.13,no,,,
1,50,JNR,6.5.13,yes,"bottom left of picture looks like object, not root.",,
1,51,JNR,6.5.13,no,,,
1,52,JNR,6.5.13,no,,,
1,53,JNR,6.5.13,no,,,
1,54,JNR,6.5.13,no,,,
1,55,JNR,6.5.13,no,,,
1,56,JNR,6.5.13,no,,,
1,57,JNR,6.5.13,yes,,,
1,58,JNR,6.5.13,blur,,,
1,59,JNR,6.5.13,yes,,,
1,60,JNR,6.5.13,yes,,,
1,61,JNR,6.5.13,yes,,,
1,62,JNR,6.5.13,no,,,
1,63,JNR,6.5.13,no,,,
1,64,JNR,6.5.13,no,,,
1,65,JNR,6.5.13,no,,,
1,66,JNR,6.5.13,yes,,,
1,67,JNR,6.5.13,yes,,,
1,68,JNR,6.5.13,yes,,,
1,69,JNR,6.5.13,no,,,
1,70,JNR,6.5.13,no,,,
1,71,JNR,6.5.13,can't see,too much water,,
1,72,JNR,6.5.13,yes,,,
1,73,JNR,6.5.13,no,,,
1,74,JNR,6.5.13,yes,dark,,
1,75,JNR,6.5.13,no,,,
1,76,JNR,6.5.13,no,,trace 2 in very bot rt,
1,77,JNR,6.5.13,no,,,
1,78,JNR,6.5.13,no,lot of water,,
1,79,JNR,6.5.13,yes,,,
1,80,JNR,6.5.13,no,,,
1,81,JNR,6.5.13,yes,,,
1,82,JNR,6.5.13,no,,,
1,83,JNR,6.5.13,no,,,
1,84,JNR,6.5.13,no,,,
1,85,JNR,6.5.13,no,,,
1,86,JNR,6.5.13,no,,,
1,87,JNR,6.5.13,no,,,
1,88,JNR,6.5.13,no,,,
1,89,JNR,6.5.13,no,,,
1,90,JNR,6.5.13,no,,,
1,91,JNR,6.5.13,no,,,
1,92,JNR,6.5.13,no,,,
1,93,JNR,6.5.13,yes,,,
1,94,JNR,6.5.13,no,,,
1,95,JNR,6.5.13,no,,,
1,96,JNR,6.5.13,yes,blur,,
1,97,JNR,6.5.13,no,,,
1,98,JNR,6.5.13,no,,,
1,99,JNR,6.5.13,yes,,,
1,100,JNR,6.5.13,no,,,
2,1,JNR,6.5.13,yes,,,
2,2,JNR,6.5.13,yes,,,
2,3,JNR,6.5.13,yes,,,
2,4,JNR,6.5.13,yes,,,
2,5,JNR,6.5.13,yes,,,
2,6,JNR,6.5.13,no,,,
2,7,JNR,6.5.13,yes,,,
2,8,JNR,6.5.13,no,lot of water,,
2,9,JNR,6.5.13,no,,trasce short vert bot left,
2,10,JNR,6.5.13,no,,,
2,11,JNR,6.5.13,no,,,
2,12,JNR,6.5.13,yes,,,
2,13,JNR,6.5.13,no,,,
2,14,JNR,6.5.13,no,,,
2,15,JNR,6.5.13,no,,,
2,16,JNR,6.5.13,no,,,
2,17,JNR,6.5.13,no,,,
2,18,JNR,6.5.13,no,,,
2,19,JNR,6.5.13,yes,,trace bot left,
2,20,JNR,6.5.13,no,,,
2,21,JNR,6.5.13,no,,,
2,22,JNR,6.5.13,no,,,
2,23,JNR,6.5.13,no,,,
2,24,JNR,6.5.13,no,,,
